"dsmodel","n","nopt","p","q","optimizer","objective","elapsed","neval"
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","LN_BOBYQA",-10.810228068596373,0.000596573,17
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","LN_COBYLA",-10.810228067051703,0.000624945,25
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","LN_NELDERMEAD",-10.810228012909828,0.000584173,26
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","LN_SBPLX",-10.810228065843859,0.000699127,50
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","bobyqa",-10.810228068599198,0.039,15
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","Nelder_Mead",-10.810228068434604,0.021,36
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","NLOPT_LN_BOBYQA",-10.810228068558207,0.021,13
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","NLOPT_LN_COBYLA",-10.81022806535367,0.02,22
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","NLOPT_LN_NELDERMEAD",-10.81022797291833,0.02,24
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","NLOPT_LN_SBPLX",-10.81022797291833,0.021,36
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","optimx:L-BFGS-B",-10.810228068595084,0.109,14
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","optimx:nlminb",-10.810228068599162,0.105,19
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","optimx:spg",-10.810228068597102,0.192,NA
"Alfalfa:1+A*B+(1|G)",72,1,12,"6","optimx:bobyqa",-10.810228068599198,0.106,NA
"Animal:1+(1|G)+(1|H)",20,2,1,"10:5","LN_BOBYQA",6.478085681326624,0.000518281,15
"Animal:1+(1|G)+(1|H)",20,2,1,"10:5","LN_COBYLA",6.478085672206188,0.000624826,49
"Animal:1+(1|G)+(1|H)",20,2,1,"10:5","LN_NELDERMEAD",6.4780856758571375,0.000662706,59
